b,h,o,t_rtx,t_vega,t_vega_2.5,Vega vs Vega,Vega Vs RTX
6144,6000,2560,14.65,25.65,19.24,33.32%,-23.85%
6144,24000,2560,56.45,105.3,71.41,47.46%,-20.95%
6144,48000,2560,113.39,212.94,142.70,49.22%,-20.54%
7680,1,2560,0.16,0.14,0.33,-57.26%,-51.16%
7680,2,2560,0.16,0.14,0.33,-57.40%,-51.32%
7680,4,2560,0.16,0.14,0.33,-57.98%,-51.98%
7680,16,2560,0.16,0.19,0.37,-48.26%,-56.43%
7680,32,2560,0.16,0.26,0.43,-39.45%,-62.74%
7680,64,2560,0.25,0.44,0.57,-22.70%,-56.08%
7680,128,2560,0.43,0.79,0.91,-13.51%,-52.93%
7680,1500,2560,4.59,8.29,5.74,44.46%,-20.01%
7680,3000,2560,8.73,16.42,13.24,24.03%,-34.06%
7680,6000,2560,17.48,32.3,24.00,34.56%,-27.18%
7680,24000,2560,70.79,131.5,89.41,47.07%,-20.83%
7680,48000,2560,148.5,265.37,178.77,48.44%,-16.93%
8448,1,2816,0.19,0.19,0.41,-53.34%,-53.34%
8448,2,2816,0.19,0.17,0.41,-58.37%,-53.48%
8448,4,2816,0.19,0.17,0.41,-58.90%,-54.06%
8448,16,2816,0.19,0.22,0.45,-51.24%,-57.89%
8448,32,2816,0.19,0.32,0.53,-39.07%,-63.82%
8448,1500,2816,5.54,10.06,7.33,37.32%,-24.38%
8448,3000,2816,10.61,19.73,16.03,23.09%,-33.81%
8448,6000,2816,21.27,39.05,29.27,33.41%,-27.33%
8448,24000,2816,86.02,159.22,110.92,43.54%,-22.45%
8448,48000,2816,182.94,322.46,221.90,45.32%,-17.56%
,,,"1,225.54","2,264.54","1,548.01",34.85%,-28.76%
,,,,,,,
,,,,,,,
,,,,1.46287188019691,1.26312465968253,,
