b,h,o,t_rtx,t_vega_2.4,t_vega_2.5,t_vega_2.6,2.4->2.5,2.5->2.6
5124,1500,2560,3.06000,5.52000,4.05000,4.067744,1.36,1.00
5124,9124,1760,12.83000,23.34000,16.55000,16.185620,1.41,1.02
5124,9124,2048,14.71000,26.90000,18.51000,19.221354,1.45,0.96
5124,9124,2560,18.35000,33.05000,23.36000,22.805204,1.41,1.02
5124,9124,4096,29.38000,53.21000,39.57000,39.884848,1.34,0.99
6144,1,2560,0.13000,0.12000,0.31000,0.320033,0.39,0.97
6144,2,2560,0.13000,0.11000,0.31000,0.321581,0.35,0.96
6144,4,2560,0.13000,0.13000,0.31000,0.327325,0.42,0.95
6144,16,2560,0.12000,0.18000,0.35000,0.364227,0.51,0.96
6144,32,2560,0.13000,0.24000,0.40000,0.414413,0.60,0.97
6144,1500,2560,3.67000,6.66000,4.62000,4.434901,1.44,1.04
6144,3000,2560,7.06000,12.88000,9.50000,9.107359,1.36,1.04
6144,6000,2560,14.65000,25.65000,19.24000,18.900784,1.33,1.02
6144,24000,2560,56.45000,105.30000,71.41000,69.382638,1.47,1.03
6144,48000,2560,113.39000,212.94000,142.70000,138.478656,1.49,1.03
7680,1,2560,0.16000,0.14000,0.33000,0.339529,0.42,0.97
7680,2,2560,0.16000,0.14000,0.33000,0.341522,0.42,0.97
7680,4,2560,0.16000,0.14000,0.33000,0.348679,0.42,0.95
7680,16,2560,0.16000,0.19000,0.37000,0.386203,0.51,0.96
7680,32,2560,0.16000,0.26000,0.43000,0.439150,0.60,0.98
7680,64,2560,0.25000,0.44000,0.57000,0.579922,0.77,0.98
7680,128,2560,0.43000,0.79000,0.91000,0.901668,0.87,1.01
7680,1500,2560,4.59000,8.29000,5.74000,5.527607,1.44,1.04
7680,3000,2560,8.73000,16.42000,13.24000,12.939173,1.24,1.02
7680,6000,2560,17.48000,32.30000,24.00000,23.540717,1.35,1.02
7680,24000,2560,70.79000,131.50000,89.41000,86.774634,1.47,1.03
7680,48000,2560,148.50000,265.37000,178.77000,173.291817,1.48,1.03
8448,1,2816,0.19000,0.19000,0.41000,0.422539,0.46,0.97
8448,2,2816,0.19000,0.17000,0.41000,0.424073,0.41,0.97
8448,4,2816,0.19000,0.17000,0.41000,0.432405,0.41,0.95
8448,16,2816,0.19000,0.22000,0.45000,0.477188,0.49,0.94
8448,32,2816,0.19000,0.32000,0.53000,0.540488,0.60,0.98
8448,1500,2816,5.54000,10.06000,7.33000,7.363586,1.37,1.00
8448,3000,2816,10.61000,19.73000,16.03000,15.620438,1.23,1.03
8448,6000,2816,21.27000,39.05000,29.27000,28.798694,1.33,1.02
8448,24000,2816,86.02000,159.22000,110.92000,110.798051,1.44,1.00
8448,48000,2816,182.94000,322.46000,221.90000,223.648726,1.45,0.99
